id,key,value,type
299842264,created_by,Potlatch 0.10b,regular
299842266,created_by,Potlatch 0.10b,regular
299851814,highway,traffic_signals,regular
299853235,barrier,toll_booth,regular
299853805,barrier,toll_booth,regular
300800922,barrier,toll_booth,regular
300802174,barrier,toll_booth,regular
316991008,highway,speed_camera,regular
317003595,highway,traffic_signals,regular
317003597,name,民生路花楼街站,regular
317003597,highway,bus_stop,regular
317003611,highway,traffic_signals,regular
317004771,name,长江大桥汉阳桥头站,regular
317004771,highway,bus_stop,regular
317005532,highway,traffic_signals,regular
317114802,highway,traffic_signals,regular
317116135,foot,yes,regular
317116135,barrier,gate,regular
317116135,bicycle,yes,regular
317116135,motorcar,yes,regular
317116135,motorcycle,yes,regular
317116136,foot,yes,regular
317116136,barrier,gate,regular
317116136,bicycle,yes,regular
317116139,foot,yes,regular
317116139,barrier,gate,regular
317116139,bicycle,yes,regular
317120068,barrier,toll_booth,regular
317125588,name,华中科技大学协和医院,regular
317125588,amenity,hospital,regular
317125588,emergency,yes,regular
317750134,area,yes,regular
317750134,name,武昌,regular
317750134,en,Wuchang,name
317750134,zh,武昌,name
317750134,railway,station,regular
317750134,building,yes,regular
317750134,public_transport,station,regular
385048221,source,bing,regular
385048221,barrier,toll_booth,regular
385049154,highway,motorway_junction,regular
385050682,name,黄陂区,regular
385050682,is_in,"Hubei, China",regular
385050682,place,suburb,regular
385050682,en,Huangpi,name
385050682,vi,Hoàng Pha,name
385050682,zh,黄陂区,name
385052104,highway,motorway_junction,regular
385057930,barrier,toll_booth,regular
385057963,barrier,toll_booth,regular
385062515,barrier,toll_booth,regular
385062591,barrier,toll_booth,regular
385087103,barrier,toll_booth,regular
460331757,name,土地堂,regular
460331757,en,Tuditang,name
460331757,zh,土地堂,name
460331757,railway,station,regular
460336877,railway,level_crossing,regular
506157801,highway,traffic_signals,regular
536280652,name,武汉大学,regular
536280652,place,locality,regular
536280652,de,Universität Wuhan,name
536280652,en,Wuhan University,name
536280652,zh,武汉大学,name
536280652,zh_pinyin,Wuhan daxue,name
579971406,name,武汉,regular
579971406,en,Wuhan,name
579971406,zh,武汉,name
579971406,railway,station,regular
581703681,name,乌龙泉东,regular
581703681,en,Wulongquan East,name
581703681,zh,乌龙泉东,name
581703681,railway,station,regular
582350157,name,山坡,regular
582350157,en,Shanpo,name
582350157,zh,山坡,name
582350157,railway,station,regular
582350159,name,乌龙泉,regular
582350159,en,Wulongquan,name
582350159,zh,乌龙泉,name
582350159,railway,station,regular
582350166,name,纸坊,regular
582350166,en,Zhifang,name
582350166,zh,纸坊,name
582350166,railway,station,regular
582350170,name,大花岭,regular
582350170,en,Dahualing,name
582350170,zh,大花岭,name
582350170,railway,station,regular
582350173,name,武昌南,regular
582350173,en,Wuchang South,name
582350173,zh,武昌南,name
582350173,railway,station,regular
582350176,name,余家湾,regular
582350176,en,Yujiawan,name
582350176,zh,余家湾,name
582350176,railway,station,regular
597420832,name,Haiyi Jinjiang Hotel,regular
597420832,tourism,hotel,regular
617564354,highway,traffic_signals,regular
635971960,barrier,toll_booth,regular
642947157,name,552路起点站,regular
642947157,highway,bus_stop,regular
644799625,name,中国农业银行,regular
644799625,amenity,bank,regular
644799631,name,邮局,regular
644799631,amenity,post_office,regular
644799641,name,田园小区,regular
644799641,amenity,bus_station,regular
644799648,name,中百超市,regular
644799648,shop,supermarket,regular
644799674,name,中国银行,regular
644799674,amenity,bank,regular
644799680,name,中百超市,regular
644799680,shop,convenience,regular
644799685,name,邮局,regular
644799685,amenity,post_office,regular
644799689,name,招商银行,regular
644799689,amenity,bank,regular
644799691,name,交通银行,regular
644799691,amenity,bank,regular
644799721,highway,bus_stop,regular
644799727,highway,bus_stop,regular
644799734,name,百佳超市,regular
644799734,shop,supermarket,regular
644799744,name,易初莲花,regular
644799744,shop,supermarket,regular
644799749,amenity,police,regular
644799773,name,劳动街派出所,regular
644799773,amenity,police,regular
644799778,name,武汉市儿童医院,regular
644799778,amenity,hospital,regular
644799796,name,长江航运总医院,regular
644799796,amenity,hospital,regular
644799801,name,家乐福,regular
644799801,shop,supermarket,regular
644831794,highway,bus_stop,regular
644831800,name,通信指挥学院,regular
644831800,amenity,college,regular
644831814,name,育才中学,regular
644831814,amenity,school,regular
644831820,name,解放中学,regular
644831820,amenity,school,regular
644831828,name,新华书店,regular
644831828,shop,books,regular
644831867,highway,bus_stop,regular
644831893,highway,bus_stop,regular
644831908,highway,bus_stop,regular
648231725,name,汉口银行,regular
648231725,amenity,bank,regular
648231726,name,招商银行自助银行,regular
648231726,amenity,atm,regular
656217818,highway,traffic_signals,regular
661042445,barrier,toll_booth,regular
661048298,highway,crossing,regular
661048299,highway,crossing,regular
662029882,name,黄浦路站,regular
662029882,en,Huangpulu Station,name
662029882,railway,station,regular
680096134,gauge,1435,regular
680096134,usage,main,regular
680096134,railway,rail,regular
680096134,voltage,25000,regular
680096134,frequency,50,regular
680096134,electrified,contact_line,regular
696981365,railway,level_crossing,regular
697316422,name,南望山,regular
697316422,natural,peak,regular
838309956,railway,level_crossing,regular
838310065,railway,level_crossing,regular
845686557,highway,traffic_signals,regular
895719328,highway,speed_camera,regular
895722272,amenity,hospital,regular
895725469,barrier,toll_booth,regular
895725504,barrier,toll_booth,regular
901269187,name,中国地质大学出版社,regular
901269187,tourism,information,regular
905064610,name,落雁路黄家大湾,regular
905064610,highway,bus_stop,regular
905066964,name,落雁路彭家岭,regular
905066964,highway,bus_stop,regular
905069790,highway,traffic_signals,regular
929275407,barrier,toll_booth,regular
929275439,barrier,toll_booth,regular
982284736,key,Irish embassy,regular
1014368356,highway,traffic_signals,regular
1014368372,highway,traffic_signals,regular
1014368379,highway,traffic_signals,regular
1102310510,amenity,fuel,regular
1102310523,amenity,post_office,regular
1124338137,name,KFC,regular
1124338137,amenity,fast_food,regular
1124338137,zh,肯德基,name
1124338143,name,McDonald‘s,regular
1124338143,amenity,fast_food,regular
1124338148,name,亚贸兴汇影城,regular
1124338148,amenity,cinema,regular
1124348552,name,华中农业大学,regular
1124348552,place,locality,regular
1124414147,name,中百超市 教育超市,regular
1124414147,shop,supermarket,regular
1124414152,name,Hospital of HAU,regular
1124414152,amenity,hospital,regular
1124414157,name,华中农业大学学术交流中心,regular
1124414157,tourism,hotel,regular
1124414160,name,华中农业大学附属学校,regular
1124414160,amenity,school,regular
1124414307,barrier,lift_gate,regular
1124470893,shop,convenience,regular
1124470894,name,教工食堂,regular
1124470894,amenity,restaurant,regular
1124470895,name,荟园餐厅,regular
1124470895,amenity,fast_food,regular
1124470896,amenity,restaurant,regular
1124470897,name,教育超市,regular
1124470897,shop,supermarket,regular
1124470898,amenity,post_box,regular
1124470899,shop,convenience,regular
1124470900,name,火锅城,regular
1124470900,amenity,restaurant,regular
1124470902,name,华农幼儿园,regular
1124470902,amenity,kindergarten,regular
1124470904,amenity,taxi,regular
1124474705,amenity,bus_station,regular
1124474705,highway,bus_stop,regular
1124474724,barrier,gate,regular
1124510048,name,华中科技大学 (主校区),regular
1124510048,place,locality,regular
1124510051,name,华中科技大学 (东校区),regular
1124510051,place,locality,regular
1124737684,name,百景园餐厅,regular
1124737684,amenity,restaurant,regular
1124764142,name,韵苑食堂,regular
1124764142,amenity,restaurant,regular
1124764146,name,韵苑学生服务中心,regular
1124764146,shop,supermarket,regular
1124764151,name,东教工食堂,regular
1124764151,amenity,restaurant,regular
1124861506,name,招待所,regular
1124861506,tourism,hotel,regular
1124861507,name,招待所,regular
1124861507,tourism,hotel,regular
1125840389,name,乾元大酒店,regular
1125840389,amenity,restaurant,regular
1125840389,cuisine,chinese,regular
1136872080,foot,yes,regular
1136872080,barrier,gate,regular
1136872080,bicycle,yes,regular
1140350477,name,南湖大道翠竹路站,regular
1140350477,highway,bus_stop,regular
1140522924,barrier,gate,regular
1140522955,name,高新大道五角塘站,regular
1140522955,highway,bus_stop,regular
1140523051,name,南湖大道南湖桥站,regular
1140523051,highway,bus_stop,regular
1143279376,amenity,atm,regular
1143279376,operator,中国农业银行,regular
1143279377,amenity,atm,regular
1143279377,operator,中国银行,regular
1143279399,barrier,gate,regular
1143279402,shop,supermarket,regular
1143279459,amenity,atm,regular
1143279459,operator,中国工商银行,regular
1143289216,name,韵学超市,regular
1143289216,shop,supermarket,regular
1143295800,name,东篱,regular
1143295800,amenity,cafe,regular
1143295801,name,东园,regular
1143295801,amenity,restaurant,regular
1143295802,name,学生食堂,regular
1143295802,amenity,restaurant,regular
1143315528,name,华中师范大学第一附属中学,regular
1143315528,amenity,school,regular
1143318895,name,大学院南路宋徐湾站,regular
1143318895,highway,bus_stop,regular
1143320490,name,莘莘超市,regular
1143320490,shop,supermarket,regular
1143320518,name,运动员餐厅,regular
1143320518,amenity,restaurant,regular
1143320523,amenity,restaurant,regular
1143320553,amenity,atm,regular
1143329688,foot,yes,regular
1143329688,name,华中农业大学大门,regular
1143329688,barrier,gate,regular
1143329688,bicycle,yes,regular
1143329688,motor_vehicle,permissive,regular
1143333537,shop,supermarket,regular
1143369262,amenity,hospital,regular
1143369313,amenity,telephone,regular
1143375544,amenity,post_office,regular
1143375544,operator,中国邮政,regular
1143375562,amenity,toilets,regular
1143375604,amenity,drinking_water,regular
1143375635,shop,convenience,regular
1143375639,power,tower,regular
1143375651,amenity,fountain,regular
1143375659,power,station,regular
1143399230,name,华师一附中教工餐厅,regular
1143399230,amenity,restaurant,regular
1143399234,shop,convenience,regular
1143399236,amenity,parking,regular
1143399241,barrier,lift_gate,regular
1143402187,shop,butcher,regular
1143402192,shop,books,regular
1143402197,shop,seafood,regular
1143402205,shop,greengrocer,regular
1143402206,atm,yes,regular
1143402206,name,中国银行,regular
1143402206,amenity,bank,regular
1143402207,shop,hairdresser,regular
1143402209,name,华农兽医院,regular
1143402209,amenity,hospital,regular
1143402222,amenity,atm,regular
1143402225,amenity,pharmacy,regular
1143420604,tourism,hotel,regular
1143420654,amenity,police,regular
1143420674,amenity,restaurant,regular
1143420701,highway,mini_roundabout,regular
1143420923,name,狮子山派出所,regular
1143420923,amenity,police,regular
1143421100,highway,turning_circle,regular
1143421121,amenity,drinking_water,regular
1143421123,amenity,restaurant,regular
1143435720,barrier,block,regular
1143435732,barrier,block,regular
1143435734,amenity,parking,regular
1143453723,barrier,lift_gate,regular
1143453743,barrier,gate,regular
1143453796,amenity,restaurant,regular
1143453888,highway,mini_roundabout,regular
1143453911,amenity,fuel,regular
1143453920,amenity,parking,regular
1143465575,barrier,gate,regular
1143731956,name,中南财经政法大学幼儿园,regular
1143731956,amenity,kindergarten,regular
1143731956,int_name,Zhongnan University of Economics and Law,regular
1143733930,name,中南民族大学,regular
1143733930,amenity,school,regular
1143733930,int_name,South Central University for Nationalities,regular
1143750545,highway,bus_stop,regular
1143771071,amenity,restaurant,regular
1143771135,power,station,regular
1143771135,designation,韵苑一期,regular
1143771140,name,喻园食堂,regular
1143771140,amenity,restaurant,regular
1143771216,barrier,block,regular
1143771373,shop,supermarket,regular
1143783350,name,JK Mall,regular
1143783350,shop,supermarket,regular
1143783996,amenity,bicycle_parking,regular
1143784016,amenity,bicycle_parking,regular
1143784040,amenity,bicycle_parking,regular
1143790387,shop,supermarket,regular
1143790396,name,喻园西餐厅,regular
1143790396,amenity,fast_food,regular
1143790430,atm,yes,regular
1143790430,name,中国银行,regular
1143790430,amenity,bank,regular
1143790443,shop,supermarket,regular
1143790461,amenity,cafe,regular
1143792798,atm,yes,regular
1143792798,name,中国工商银行,regular
1143792798,amenity,bank,regular
1143792802,amenity,atm,regular
1143792802,operator,浦发银行,regular
1143792817,shop,books,regular
1143965868,highway,traffic_signals,regular
1143965883,highway,traffic_signals,regular
1144975785,name,马房山中学,regular
1144975785,amenity,school,regular
1144979470,name,Pizza Hut,regular
1144979470,amenity,fast_food,regular
1144979470,cuisine,pizza,regular
1144979506,power,sub_station,regular
1144979544,power,station,regular
1144979585,amenity,restaurant,regular
1144979641,name,仓桥家日本料理 (群光店),regular
1144979641,amenity,restaurant,regular
1144980594,atm,yes,regular
1144980594,name,招商银行,regular
1144980594,amenity,bank,regular
1145221979,highway,traffic_signals,regular
1145360214,name,荷清水乡(新址),regular
1145360214,amenity,restaurant,regular
1145369608,amenity,parking,regular
1145375893,barrier,gate,regular
1145375939,barrier,gate,regular
1145382352,barrier,gate,regular
1145382370,barrier,gate,regular
1145387979,power,station,regular
1145387992,name,附中食堂,regular
1145387992,amenity,restaurant,regular
1145388002,amenity,bicycle_parking,regular
1145388003,amenity,bicycle_parking,regular
1145388006,amenity,parking,regular
1145389763,barrier,gate,regular
1145389765,barrier,gate,regular
1145390925,barrier,gate,regular
1145390959,barrier,gate,regular
1145390978,barrier,gate,regular
1145394684,amenity,bicycle_parking,regular
1145394691,barrier,gate,regular
1145394704,barrier,lift_gate,regular
1145394715,barrier,gate,regular
1146760244,amenity,bicycle_parking,regular
1146760280,shop,convenience,regular
1146760309,shop,convenience,regular
1146760334,barrier,gate,regular
1146760338,name,水高食堂,regular
1146760338,amenity,restaurant,regular
1146761204,amenity,restaurant,regular
1146761204,cuisine,asian,regular
1146761236,shop,convenience,regular
1146762325,amenity,parking,regular
1146762340,amenity,fuel,regular
1146766870,amenity,restaurant,regular
1148533161,name,喻家山,regular
1148533161,natural,peak,regular
1148533198,name,狮子山,regular
1148533198,natural,peak,regular
1148539423,barrier,gate,regular
1148539437,barrier,gate,regular
1148539445,amenity,restaurant,regular
1148740588,barrier,gate,regular
1148740618,barrier,gate,regular
1148754891,name,地下车库,regular
1148754891,amenity,parking,regular
1148790331,amenity,fuel,regular
1149116817,highway,traffic_signals,regular
1149139781,shop,supermarket,regular
1149139812,barrier,gate,regular
1150257045,highway,traffic_signals,regular
1150264523,amenity,parking,regular
1150265270,name,民主路洪山体育馆站,regular
1150265270,highway,bus_stop,regular
1150600175,name,月湖路,regular
1150606481,amenity,parking,regular
1150606496,barrier,toll_booth,regular
1150795690,highway,traffic_signals,regular
1150802196,name,龙城路民族大道口站,regular
1150802196,highway,bus_stop,regular
1150802209,name,龙城路冯徐村站,regular
1150802209,highway,bus_stop,regular
1150841378,name,枫叶寄宿学校,regular
1150841378,amenity,school,regular
1150841389,name,武大园路武大园二路站,regular
1150841389,highway,bus_stop,regular
1150841416,name,高新大道茶棚村站,regular
1150841416,highway,bus_stop,regular
1150841426,highway,traffic_signals,regular
1150841427,highway,traffic_signals,regular
1150841457,amenity,parking,regular
1150841482,highway,traffic_signals,regular
1150841510,highway,bus_stop,regular
1150854752,amenity,parking,regular
1150854772,amenity,parking,regular
1150858919,barrier,gate,regular
1150858924,name,森林公园,regular
1150858924,barrier,gate,regular
1150858933,barrier,toll_booth,regular
1150858943,amenity,parking,regular
1150868356,amenity,parking,regular
1150868407,amenity,bicycle_parking,regular
1157121723,amenity,bicycle_parking,regular
1157121744,name,南湖春酒店,regular
1157121744,amenity,restaurant,regular
1157503661,highway,traffic_signals,regular
1157503773,highway,traffic_signals,regular
1157504033,barrier,lift_gate,regular
1157504033,motorcar,yes,regular
1157504033,motorcycle,no,regular
1157504173,barrier,lift_gate,regular
1157504173,motorcar,yes,regular
1157504173,motorcycle,no,regular
1159515665,highway,traffic_signals,regular
1174975375,name,光谷二路富五路站,regular
1174975375,highway,bus_stop,regular
1174975389,highway,traffic_signals,regular
1175018189,name,杨桥湖大道程杨湾站,regular
1175018189,highway,bus_stop,regular
1175062586,name,体育馆,regular
1175062586,leisure,sports_centre,regular
1175089446,name,藏龙大道前舒湾站,regular
1175089446,highway,bus_stop,regular
1175089470,name,藏龙大道谭家嘴站,regular
1175089470,highway,bus_stop,regular
1175089504,name,藏龙大道大堤湾站,regular
1175089504,highway,bus_stop,regular
1175089563,name,藏龙大道大堤湾站,regular
1175089563,highway,bus_stop,regular
1175089612,name,藏龙大道谭家嘴站,regular
1175089612,highway,bus_stop,regular
1175183858,name,一棵树,regular
1175200611,name,栗庙路美院藏龙岛校区站,regular
1175200611,highway,bus_stop,regular
1175200681,name,栗庙路阳光100站,regular
1175200681,highway,bus_stop,regular
1175200731,name,环岛路体育科技学院站,regular
1175200731,highway,bus_stop,regular
1176711646,name,流芳老街大邱市场站,regular
1176711646,highway,bus_stop,regular
1176743057,amenity,atm,regular
1176743075,shop,convenience,regular
1176743081,barrier,gate,regular
1176743105,shop,convenience,regular
1176743160,barrier,gate,regular
1176743242,name,三清园,regular
1176743242,amenity,restaurant,regular
1176743265,name,一粟堂,regular
1176743265,amenity,restaurant,regular
1176743366,barrier,lift_gate,regular
1176743463,barrier,gate,regular
1176772095,amenity,parking,regular
1176841387,amenity,post_office,regular
1176841387,operator,中国邮政,regular
1176841477,amenity,parking,regular
1176841491,name,学府平价,regular
1176841491,shop,convenience,regular
1176841549,name,兴达超市,regular
1176841549,shop,convenience,regular
1176861347,name,九华厅,regular
1176861347,amenity,restaurant,regular
1176861486,atm,yes,regular
1176861486,name,中国农业银行,regular
1176861486,amenity,bank,regular
1176861519,amenity,atm,regular
1176861519,operator,中国农业银行,regular
1176861810,name,超市,regular
1176861810,shop,convenience,regular
1176861966,name,七品居,regular
1176861966,amenity,restaurant,regular
1176862032,name,超市,regular
1176862032,shop,convenience,regular
1176992852,highway,traffic_signals,regular
1176993040,highway,traffic_signals,regular
1177017425,barrier,toll_booth,regular
1177047300,highway,traffic_signals,regular
1177047522,highway,traffic_signals,regular
1177047550,name,光谷大道堡湖嘴站,regular
1177047550,highway,bus_stop,regular
1177047595,name,杨桥湖大道程杨湾站,regular
1177047595,highway,bus_stop,regular
1177175517,name,光谷大道刘张湾站,regular
1177175517,highway,bus_stop,regular
1177175625,name,光谷大道吴李湾站,regular
1177175625,highway,bus_stop,regular
1177175738,highway,traffic_signals,regular
1177175778,name,光谷大道刘张湾站,regular
1177175778,highway,bus_stop,regular
1177175781,name,光谷大道吴李湾站,regular
1177175781,highway,bus_stop,regular
1177232839,name,江夏区藏龙岛科技园管委会,regular
1177232839,amenity,townhall,regular
1177232917,highway,traffic_signals,regular
1178730270,name,流芳消防中队,regular
1178730270,amenity,fire_station,regular
1178730308,name,中百超市洋湖大道店,regular
1178730308,shop,convenience,regular
1178759280,amenity,fuel,regular
1178784607,name,藏龙岛科技园,regular
1178784607,place,locality,regular
1178784607,en,Canglongdao,name
1178784609,name,珞珈山街道办事处,regular
1178784609,amenity,townhall,regular
1178784609,vi,Lạc Già Sơn,name
1178784609,zh,珞珈山街,name
1178784613,name,流芳街道办事处,regular
1178784613,amenity,townhall,regular
1178784613,en,Liufang,name
1178784613,vi,Lưu Phương,name
1178784613,zh,流芳街,name
1179083162,barrier,gate,regular
1179083164,barrier,gate,regular
1179089188,barrier,gate,regular
1179096453,amenity,bicycle_parking,regular
1180230164,barrier,lift_gate,regular
1180235122,name,经院百货超市,regular
1180235122,shop,convenience,regular
1180235122,opening_hours,sunrise-sunset,regular
1180235154,highway,traffic_signals,regular
1185995074,amenity,parking,regular
1186631448,shop,computer,regular
1186631448,amenity,marketplace,regular
1186631477,name,Lighting supermarket,regular
1186631477,shop,mall,regular
1186631536,highway,traffic_signals,regular
1186631575,highway,traffic_signals,regular
1186631581,highway,traffic_signals,regular
1186631634,highway,traffic_signals,regular
1186764350,name,珞喻路光谷广场站,regular
1186764350,highway,bus_stop,regular
1186768308,amenity,atm,regular
1186768313,amenity,bicycle_parking,regular
1186768335,atm,yes,regular
1186768335,name,中国工商银行,regular
1186768335,amenity,bank,regular
1186768354,amenity,bicycle_parking,regular
1186768355,amenity,atm,regular
1186768355,operator,中国建设银行,regular
1186768359,name,中国农业银行,regular
1186768359,amenity,bank,regular
1186768367,amenity,bicycle_parking,regular
1186770495,barrier,gate,regular
1186770558,barrier,gate,regular
1186784614,amenity,bicycle_parking,regular
1186784672,amenity,bicycle_parking,regular
1186784735,amenity,bicycle_parking,regular
1186784737,barrier,gate,regular
1186784739,amenity,bicycle_parking,regular
1187167640,barrier,gate,regular
1187167728,barrier,gate,regular
1187167764,amenity,parking,regular
1187167793,barrier,gate,regular
1187167810,barrier,gate,regular
1187205304,shop,books,regular
1187205321,amenity,telephone,regular
1187205329,amenity,telephone,regular
1188883406,foot,yes,regular
1188883406,barrier,gate,regular
1188883406,bicycle,yes,regular
1188922886,name,九峰街,regular
1188922886,place,town,regular
1188922886,en,Jiufeng,name
1188922886,vi,Cửu Phong,name
1188922886,zh,九峰街,name
1188922892,name,左岭街,regular
1188922892,place,town,regular
1188922892,vi,Tả Lĩnh,name
1188922892,zh,左岭街,name
1188922899,name,花山街,regular
1188922899,place,town,regular
1188922899,vi,Hoa Sơn,name
1188922899,zh,花山街,name
1188922910,name,豹澥街,regular
1188922910,place,town,regular
1188922910,en,Baoxie,name
1188922910,vi,Báo Hải,name
1188922910,zh,豹澥街,name
1189046341,amenity,atm,regular
1189068390,name,关山街道办事处,regular
1189068390,amenity,townhall,regular
1189068390,vi,Quan Sơn,name
1189068390,zh,关山街,name
1192374692,name,纸坊街,regular
1192374692,place,town,regular
1192374692,en,Zhifang,name
1192374692,vi,Chỉ Phường,name
1192374692,zh,纸坊街,name
1192680445,barrier,toll_booth,regular
1193599544,amenity,fuel,regular
1193599544,operator,Sinopec,regular
1193599547,brand,Sinopec,regular
1193599547,amenity,fuel,regular
1194059837,barrier,toll_booth,regular
1194098099,highway,traffic_signals,regular
1194122224,highway,speed_camera,regular
1194178884,highway,speed_camera,regular
1194858783,barrier,gate,regular
1194858814,barrier,gate,regular
1194867133,barrier,gate,regular
